E,D(E)
0.869971,2.44074e+228
0.873881,-4.24803e+228
0.877791,1.42058e+228
0.881701,2.92732e+228
0.885611,-4.44195e+228
0.889521,1.84944e+228
0.893431,2.37304e+228
0.897341,-4.71101e+228
0.90125,3.55917e+228
0.90516,4.22638e+225
0.90907,-3.55064e+228
0.91298,5.13741e+228
0.91689,-4.26804e+228
0.9208,1.703e+228
0.92471,1.32576e+228
0.92862,-3.82764e+228
0.93253,5.36391e+228
0.93644,-5.99196e+228
0.94035,6.04401e+228
0.94426,-5.91558e+228
0.94817,5.93586e+228
0.95208,-6.29857e+228
0.95599,6.97422e+228
0.9599,-7.50602e+228
0.96381,6.68492e+228
0.96772,-2.60665e+228
0.97163,-5.10534e+228
0.97554,9.3204e+228
0.97945,2.58574e+228
0.98336,-8.76848e+228
0.98727,-1.28436e+229
0.99118,-1.11974e+229
0.99509,2.13795e+229
0.999,1.69511e+229
